artist_name,biography,listeners,playcount,similar_artist
Lane 8,"San Francisco-based house producer Lane 8 (real name: Daniel Goldstein) made quite a splash when The Magician played his debut single, “Don’t Want You Back”, in the 23rd installment of the wildly popular Magic Tape series. The follow-up single, titled ‘Dusty’, surpassed all expectations, racking up diverse DJ support from the UK’s Jody Wisternoff and Kidnap Kid to California’s Viceroy and Geisha Twins. From there, a 3-track EP, reworks of Fleetwood Mac and Brandy https://www.last.fm/music/Lane+8",371405,9017211,Sultan + Shepard
DJ Gollum,"Real Name: Lars Böge
Profile: In the year 1993 (already in a technoinfected stadium) DJ Gollum met DJ Hunter at a small village-club. After a lot of some delicious Southern/Ginger they decided to buy two turntables and a mixer. They started to play at some privatparties.. well, thats the typical way, I guess. 1994 was the year of Gollum's first bookings. His first gig was at the ""Secret"" in Wedel (nowadays called Maxx Musichall). In the same year https://www.last.fm/music/DJ+Gollum",249998,3023282,DJ Satomi
OMFG,"OMFG, real name Loell Bergen, also going by Alex Savage, is a Canadian music producer who makes electronic music. He is best known for his song ""Hello"" which has gained over 200 million views on YouTube since being uploaded on Dec 25, 2014 on the music promotion channel MrSuicideSheep. 

When Alex first released music under OMFG, many questioned his identity. At first, he used several pictures from a girl named Kylee Boettcher to gain publicity, since not that many female producers exist in comparison to males. https://www.last.fm/music/OMFG",226668,1905610,Tobu
Mop Mop,"Mop Mop
""...a bastard performance of modern jazz based on riffs looped almost till monotony..."" But Mop Mop is also exotic rhythm, Italian melody, and improvisation. Sounds like Nicola Conte, Gerardo Frisina, The Five Corners Quintet.

Andrea Benini (born March 14, 1977),  aka Mop Mop, is a musician, music producer, and composer from Cesena, Italy. He has worked in jazz, funk and club music. In 2005, his main project became Mop Mop, a funk/afro/jazz combo.  As of 2013, Benini is living and producing new works in Berlin. 
 https://www.last.fm/music/Mop+Mop",102179,917026,The Bahama Soul Club
Mustard,"Born as Dijon Isaiah McFarlane on June 5, 1990 in Los Angeles, California, Mustard is well-known for his producer tag ""Mustard on the beat, ho"", said by YG. He has produced hit singles for artists such as Tyga, YG, Kendrick Lamar, Rihanna, Fergie, Big Sean, Tinashe, Jeremih, and Lil Dicky. https://www.last.fm/music/Mustard",1142751,22223294,YG
MATTN,"At 26 years old, and driven by a relentless hunger for dance music, the mysterious MATTN is ready to make a serious name for herself, having already made a mark as one of the hottest young female artists in the electronic circuit. Her recipe of arena-worthy beats and exciting melodies captivate audiences the world over, and effortlessly combine to create her own unique flavour.

MATTN’s blend of underground and mainstage appeal has seen her lend her skills perfectly to a wide array of events https://www.last.fm/music/MATTN",86833,570502,Dimitri Vegas
Creo,"Creo is a visual artist and EDM producer from Vienna, Austria. He specializes in blending various genres with electronic music. 
Creo first gained recognition for his track Dimension after being used in a famous Geometry Dash level. Since then, his melodic and energetic music has become a staple for thousands of levels in-game. https://www.last.fm/music/Creo",73327,3293197,Koraii
dj karpin,Dj Karpin IS a popular DJ from Spain. https://www.last.fm/music/dj+karpin,3140,19690,MR. FLI
WHTKD,https://www.last.fm/music/WHTKD,59687,321093,Yaman Khadzi
Melody Gardot,"Melody Gardot (b. 1985) is a Grammy-nominated U.S. jazz singer, writer, and musician.

Born on the 2nd February 1985 in Philadelphia, Pennsylvania, Gardot took up piano and played as a youngster on the nightclub scene of Philadelphia, influenced by jazz, folk, rock, and pop musics. At the age of nineteen she was a fashion student at the Community College of Philadelphia. While cycling in Philadelphia in November 2003 she was hit by a car whose driver had ignored a red traffic light. https://www.last.fm/music/Melody+Gardot",796412,15397135,Diana Krall
Fun Factory,"Fun Factory is an Eurodance group from Germany.

The good time dance machine par excellence was how one critic described Fun Factory - probably the most accurate, characterisation ever made of this group. With their high-explosive mixture of pop, dance, rap, techno and reggae elements, they have achieved international acclaim and their singles can be found in the charts the world over. Tracks such as Groove Me (# 1 in Israel Dance Chart, # 5 in Israel Air play) https://www.last.fm/music/Fun+Factory",81937,650445,Masterboy
Calyx & TeeBee,"To drum & bass fans the world over the names Calyx and TeeBee are synonymous with high quality, perfectly sculpted music. Just as Michelangelo discovered statues in blocks of stone, so Calyx and TeeBee discovered the essence of D&B locked away in studio equipment; always forward-thinking and packed with as much integrity as energy; their music has had an impact on the scene for over fifteen years.
While Calyx & TeeBee’s first collaborations emerged in 2004 https://www.last.fm/music/Calyx+&+TeeBee",91736,1266961,Spor
The Weeknd,"Abel Makkonen Tesfaye, popularly known as The Weeknd (born February 16, 1990 in Toronto, Ontario, Canada), is a Canadian R&B/hip-hop musician, singer-songwriter and record producer. He chose his stage name in tribute to when he was 17 years old, when, along with his friend La Mar Taylor, he dropped out of high school, took his mattress, and ""left one weekend and never came home"". However, his estranged former producer Jeremy Rose claims the name was his idea. https://www.last.fm/music/The+Weeknd",5193008,1080291615,Tory Lanez
Unknown Brain,"Unknown Brain is an electronic music duo from Lithuania, consisting of Krivičius Viktoras and Vaitiekūnas Vytautas. Their main style is a mix of Future Bass, Trap and Dubstep, with melodic vibes and heavy bass. https://www.last.fm/music/Unknown+Brain",236260,4279451,Lost Sky
Gryffin,"Over the past couple of years, NYC-based multi-instrumentalist and producer, Gryffin aka Dan Griffith, has cemented his path to the international spotlight with his melody-rich style of house music that fuses indie with dance in tasteful fashion. Known for some of the biggest remixes from the last year, such as his remix of Tove Lo’s “Talking Body,” Maroon 5’s “Animals,” Years & Years’ “Desire,” and more, this gifted up-and-comer has already seen a significant amount of success https://www.last.fm/music/Gryffin",697247,16327747,Illenium
Fraxo,https://www.last.fm/music/Fraxo,40038,302857,Jo Cohen
Sofi Tukker,"Sofi Tukker is an electronic music duo, formed in 2014, consisting of Sophie Hawley-Weld and Tucker Halpern, who live in New York. Sophie is originally German but considers herself a Brazilian at heart, because of her passion for Latin and African rythyms. Tucker was a basketball player before an injury ended his career as an athlete and brought him to music. 

Discography:

Albums: 
2018: Treehouse
EPs: 
2016: Soft Animals 
2019: Dancing on the People
 https://www.last.fm/music/Sofi+Tukker",690524,13929655,The Knocks
OneRepublic,"OneRepublic is an American pop-rock band formed in Colorado Springs, Colorado, in 2002. The lineup consists of Ryan Tedder (lead vocals, piano), Zach Filkins (lead guitar, viola), Drew Brown (guitar), Brent Kutzle (bass, cello), Eddie Fisher (drums), and Brian Willett (keyboards, violin).

The band first gained attention as an unsigned act on Myspace. After performing throughout Los Angeles in 2002, the group attracted label interest and eventually signed with Velvet Hammer, an imprint of Columbia Records. https://www.last.fm/music/OneRepublic",4252538,133029526,Imagine Dragons
KSHMR,"Niles ""Cyranizzy"" Hollowell-Dhar (born 6 October 1988), better known as KSHMR, is coming up as one of the more memorable names in the electronic music industry.  KSHMR is based in Berkeley, California, and since 2013, KSHMR has been making EDM after leaving the indie-pop duo The Cataracs. 

KSHMR first got his name in the EDM scene with the song ""Megalodon"" as his first big tune released in the early years of 2014. KSHMR is also known for contributing to compositions for many famous producers like Borgeous and DVBBS. https://www.last.fm/music/KSHMR",353222,6094631,Martin Garrix
Tritonal,"After only three short years of united production, progressive trance duo Tritonal has become one of the top names to watch in the international electronic dance music scene. Currently standing at #83 on DJ Mag’s Top 100 DJs List, Tritonal has seen track after track fly up the Beatport charts and land in the sets of some of the most renowned and respected DJs in the world. In 2011, Tritonal shows no signs of slowing down—even after a whirlwind, worldwide tour to promote their debut artist album, ""Piercing the Quiet.” https://www.last.fm/music/Tritonal",439032,6887051,Audien
Zouzoulectric,"Studio/Band project with singer/songwriter Nelly Simon and Jürgen Kausemann, producer, musician, and one of the founders of Chinchin records. The jazz singer and studied drama teacher Nelly Simon (who also performs with ""Club des Belugas"" pianist Roman Babik), fell in love with swing dance and jazz music when she was very young. Jürgen Kausemann and Nelly Simon met for the first time in 2013 when he saw her performing in concert with her band “choo choo panini”.
 https://www.last.fm/music/Zouzoulectric",6245,34803,Nikola Vujicic
Cappella,"Cappella, an iconic Italian Eurodance group, was established in 1987 by producer Gianfranco Bortolotti. Their most notable hit, “U Got 2 Let the Music,” soared to No. 2 on the UK Singles Chart in 1993. Renowned as one of the biggest dance acts in Europe, CAPPELLA achieved massive success with 9 Top Ten hits and 3 No.1 hits, including the iconic tracks ‘MOVE ON BABY’ and ‘U & ME.’

The original producer and creator of CAPPELLA, Gianfranco Bortolotti of Media Records, has partnered with Lis Birks to relaunch CAPPELLA. https://www.last.fm/music/Cappella",176505,1173408,2 Unlimited
Tremenda Jauría,"Tremenda Jauría es un colectivo musical de Madrid que fusiona cumbia-punk, rap, reguetón combativo y música electrónica.​ Esta mezcla original de estilos musicales crea un estilo popular que llaman ""cumbiatón"" o ""electrocumbia"". https://www.last.fm/music/Tremenda+Jaur%C3%ADa",6513,106890,Tribade
Romare,"Romare is the alias of electronic producer and DJ Archie Fairhurst. Romare began mixing his own music with samples from second hand records after picking up a pair of turntables. Having studied African American Visual Culture at University. Romare Bearden's cut'n'paste artworks inspired Fairhurt to apply a similar technique to music. ""I liked the way Bearden created original, aesthetically appealing work through a mixture of his own drawing and painting, with existing media, like cut-outs of old photographs or record sleeves,” Archie says. https://www.last.fm/music/Romare",317924,3919766,Session Victim
CHVRCHES,"CHVRCHES (pronounced as ""churches""; stylised as CHVRCHΞS) is a Scottish electronic band from Glasgow, formed in 2011. The group consists of Lauren Mayberry (lead vocals, occasionally synths and samplers), Iain Cook (synths, guitar, bass, vocals) and Martin Doherty (synths, samplers, vocals). The group's debut album, The Bones of What You Believe, was released on 20 September 2013.

Previously, Mayberry was a member of the bands Boyfriend/Girlfriend and Blue Sky Archives. https://www.last.fm/music/CHVRCHES",1247023,69098337,Lauren Mayberry
La Yegros,"Buenos Aires, Argentina

La Yegros resides in the pulsing heart of cosmopolitan Buenos Aires, but her family hails from the tropical climates found in the rural rain forests of the north, bordering Brazil. She received classical, conservatory training in music and got her break when she played before thousands as part of the De La Guarda experimental theatre.

Confident and vibrant in approach, she’s been championed by MTV Iggy, as well as by Fader Magazine https://www.last.fm/music/La+Yegros",56562,512142,El Gato Negro
The Bahama Soul Club,"Following the smashing success of The JuJu Orchestra, the creative team around Oliver Belz has come up with the next step: A delicious clash of soul, jazz and latin with that unique vintage feel.

So what do you expect from one of the brains behind the Juju’s brilliant BOSSA NOVA IS NOT A CRIME? Well you’ll get an impressive demonstration of the latest defining of superb dancefloor-jazz which makes this music welcome to DJ’s worldwide. 

RHYTHM https://www.last.fm/music/The+Bahama+Soul+Club",85192,827852,Mop Mop
black coast,"There are at least two artists known as Black Coast:

1: Black Coast are a nu-metalcore band from Stoke-on-Trent, England, formed in January 2016, featuring Charlie Hewitt (vocals), Scott Pinnington & Joe Mayer (guitars), Jack Beardsall (bass) and Matty Clark (drums). As of March 2025, they have released one album (Outworld, 2021) and three EPs. The band cites Deftones, Alice in Chains, Linkin Park and Ocean Grove, alongside others, as their primary influences. https://www.last.fm/music/black+coast",246574,1952387,Profiler
Coldplay,"Coldplay is a British alternative rock and britpop band formed in London in 1997. They consist of vocalist and pianist Chris Martin, guitarist Jonny Buckland, bassist Guy Berryman, drummer Will Champion and creative director Phil Harvey. They met at University College London and began playing music together from 1996 to 1998, initially calling themselves Starfish. Coldplay's music incorporates elements of soft rock, pop rock, piano rock, and post-britpop. https://www.last.fm/music/Coldplay",8976484,768190862,Keane
The xx,"The xx are an English alternative rock band from Wandsworth, London, formed in 2005. The band consists of  Romy Madley Croft (guitar, vocals), Oliver Sim (bass guitar, vocals), Jamie Smith, also known as Jamie xx (beats, MPC, record production), and formerly Baria Qureshi (keyboard, guitar). The band is known for the distinct and minimalist sound that blends indie rock, indie electronic, indie pop, dream pop and electro-rock and the dual vocalist setup of both Madley Croft and Sim. https://www.last.fm/music/The+xx",2728751,186737627,Oliver Sim
Patrice Rushen,"Keyboardist/singer/songwriter/arranger/musical director Patrice Rushen has had an outstanding career with several Top Ten R&B hits, including ""Haven't You Heard,"" ""Forget Me Nots,"" ""Feels So Real,"" and ""Watch Out.""  Arguably she has received much of her popularity through other acts copying or sampling her material.  ""Forget Me Nots"" was the basis of Will Smith's ""Men in Black"" from the blockbuster movie of the same name on Big Willie Style and George Michael extensively used the same track for his hit 'Fastlove'. https://www.last.fm/music/Patrice+Rushen",746595,6042629,"Evelyn ""Champagne"" King"
Royal Gigolos,"Royal Gigolos is a band formed by the German musicians Melanie, Jay and Tyson in 2003. Their biggest hits include Tell It To My Heart, California Dreaming, Self Control, No Milk Today and Happy Song. https://www.last.fm/music/Royal+Gigolos",185201,1042676,Global Deejays
Nightcore,"Nightcore consists of Thomas S. Nilsen and Steffen Ojala Søderholm from Norway, Alta. Mixing techno/dance music into faster and more happier sounds, their name, 'Nightcore', means that they are the core of the night, so listeners will dance all night long.
They first started making music with Dance eJay 2/3 for a school project; they got a 4+ on our first single, and 6 on the whole album, called 'Energized'. 
After this, they understood that they https://www.last.fm/music/Nightcore",325132,9989431,DJ Satomi
GFOTY,"Polly-Louisa Salmon (born 1990) is a British pop singer known by her stage name GFOTY, an abbreviation of Girlfriend of the Year. From 2014-2018 she has released music through the PC Music label. She made her independent debut in 2018 with the release of her single Boy Next Door. Much of her best-known work has been in the form of mini-mixes.
 https://www.last.fm/music/GFOTY",223681,6135150,Lipgloss Twins
Purple Disco Machine,"Tino Piontek (born 1980), also known as Tino Schmidt and the stage name Purple Disco Machine, is a German disco and house music producer and DJ.

Tino Piontek grew up in the German Democratic Republic. Through his father, he got to know western rock music at a young age. In 1996 he started producing with the program Cubase and some synthesizers; at the same time he discovered house music on the Dresden nightlife scene.[1] He became active as a DJ himself and in 2012 his first productions appeared. https://www.last.fm/music/Purple+Disco+Machine",578964,10400399,Kungs
Oxia,"Oxia should be no stranger to techno fans. Behind his fancy pseudonym we find one Olivier Raymond from Grenoble, France. Deejaying from the tender age of 15, Oxia has been consistently churning out productions under several guises - with Stephane Deschezeaux or the Hacker with whom he runs the Goodlife label. https://www.last.fm/music/Oxia",216861,1292911,Boris Brejcha
ESPRIT 空想,"George Clanton (also known by the monikers Mirror Kisses, ESPRIT 空想, and Kid's Garden) is an American electronic musician and singer-songwriter known for his involvement with the vaporwave music scene. He established his independent record label 100% Electronica in 2015, and in 2019 launched the first vaporwave music festival, 100% ElectroniCON. 

George Clanton was born in Ridgeway, Virginia. He grew up going to punk rock shows. His career began when he accidentally downloaded a misnamed Brian Jonestown Massacre song https://www.last.fm/music/ESPRIT+%E7%A9%BA%E6%83%B3",404662,6324983,George Clanton
Dj Dasten,https://www.last.fm/music/Dj+Dasten,8140,34866,4ndy
Gianluca Vacchi,"Gianluca Vacchi is an italian multimillionaire, Instagram celebrity, former business man, and Dj from Bologna. He graduated in Economics and Business.
In 2013, at the age of 46, he opened an Instagram account and as of late has 15 million followers. https://www.last.fm/music/Gianluca+Vacchi",45203,222581,Jude & Frank
Shouse,"Shouse are an Australian-based electronic music duo consisting of Jack Madin and New Zealander Ed Service. They are best known for their 2017 single ""Love Tonight"", which experienced renewed popularity in 2021 after various remixes of it were used in TikTok trends. https://www.last.fm/music/Shouse",518722,5430342,Kungs
Jamiroquai,"Jamiroquai are an English acid jazz and funk band formed in London in 1992. The group is led by vocalist Jay Kay, who has remained the sole consistent member throughout multiple lineup changes. They initially became associated with the London acid jazz movement of the early 1990s and later incorporated influences from rock, disco, electronic music, and Latin styles. Their lyrics have frequently focused on social and environmental themes.

Jamiroquai first recorded under Acid Jazz Records before signing with Sony https://www.last.fm/music/Jamiroquai",2823455,101338343,The Brand New Heavies
League of Legends,"League of Legends (abbreviated LoL or just League) is a multiplayer online battle arena video game developed and published by Riot Games for Microsoft Windows and OS X. The game follows a freemium model and is supported by microtransactions, and was inspired by the Warcraft III: The Frozen Throne mod, Defense of the Ancients.

In League of Legends, players assume the role of an unseen ""summoner"" that controls a ""champion"" with unique abilities and battle against a team of other players or computer-controlled champions. https://www.last.fm/music/League+of+Legends",1205663,54245248,Valorant
ODESZA,"ODESZA is a production duo made up of Harrison Mills (Catacombkid) and Clayton Knight (BeachesBeaches) based out of the Pacific Northwest, United States. They met their senior year of college and decided to spend the summer as recent graduates from Western Washington University in Bellingham, WA collaborating on an album. On September 5th, 2012 they self-released a free LP entitled “Summer’s Gone”, creating a delicate balance between dreamy sun trickled melodies, glitched out vocals, crunchy drums and large sweeping basslines. https://www.last.fm/music/ODESZA",1049884,39355378,Kasbo
Bob Sinclar,"Bob Sinclar, born in 1969, real name Christophe Le Friant (French pronunciation : kʁistɔf lə fʁijɑ̃), is a French record producer, DJ, remixer and co-owner (with DJ Yellow) of the label Yellow Productions. Sinclar started DJing in 1986, when he was just 18 years old, specializing in funk and hip-hop music, with the name Chris The French Kiss. His first club hit was Gym & Tonic, a track produced by Thomas Bangalter of Daft Punk, featuring unauthorized vocals taken from a Jane Fonda fitness tape. https://www.last.fm/music/Bob+Sinclar",1581327,16645451,Martin Solveig
Bruno Mars,"Peter Gene Hernandez (born October 8, 1985 in Honolulu, Hawaii, USA), known professionally as Bruno Mars, is an American singer, songwriter, record producer, musician, and dancer. He is known for his stage performances, retro showmanship, and for performing in a wide range of musical styles, including pop, R&B, funk, soul, reggae, disco, and rock. Mars is accompanied by his band, the Hooligans, who play a variety of instruments, such as electric guitar, bass, piano, keyboards, drums, and horns, and also serve as backup singers and dancers. https://www.last.fm/music/Bruno+Mars",5096892,279163389,"Bruno Mars, Anderson .Paak, Silk Sonic"
Pascal Letoublon,"Before even releasing an LP, Pascal Letoublon had already left his mark on history – he is a young producer, who, almost overnight and thanks to TikTok’s viral pull, hoisted himself to the top of the Asian charts, was programmed in clubs throughout China and caught the eye of European record labels. All this down to a track visibly packed with universal charm, released in 2017, on a small independent label (Suprafive Records), whose vocal version has just been licenced to Virgin Germany https://www.last.fm/music/Pascal+Letoublon",127721,1297961,Robin Schulz
BeatGhosts,https://www.last.fm/music/BeatGhosts,1858,8617,New Generation SK
Bruno Martini,"Bruno Dalla Martha Martini (São Paulo, 1 October 1992), known as Bruno Martini, is a Brazilian musician, singer, songwriter, producer, actor and DJ. https://www.last.fm/music/Bruno+Martini",185282,1765439,Cat Dealers
Bicep,"Belfast-born/London-based duo Bicep (Matt McBriar & Andy Ferguson) are childhood friends who bonded over a shared love of dance music. In the decades since first meeting, aged 8, Bicep have become one of the world’s most avidly appreciated curators & producers of electronic music.

Recently hailed by the BBC as “one of the biggest names in UK dance”, Bicep continue to cement themselves as one of the defining global electronic acts of our times. https://www.last.fm/music/Bicep",602644,13144087,B.D.B
Vitalic,"Vitalic (born as Pascal Arbez in 1976) is an electronic music artist. He was born in France and is of Italian descent. His first singles were released in 1996 and 1997, but were confined to the underground electronic music scene. He decided to make music when he heard Daft Punk's Rollin' & Scratchin' in a club in his hometown Dijon, France. He became good friends with Michel Amato, also known as The Hacker, whom he met in the Rex, the ""techno temple"" of Laurent Garnier. https://www.last.fm/music/Vitalic",739115,14857968,Boys Noize
Jude & Frank,"Born and raised in Rome, Jude & Frank has become in the last years one of the most important project in the international house music scene. 

Hit singles like “La Luna”, “La Vereda (Cada Vez)”, “Sun Is Shining” and “Quem Vai Querer” has been released on top labels as Spinnin’ Records, Armada Music, Big Beat (Atlantic Records) and Sony Music also supported by world-class artists such as Pete Tong, David Guetta, Bob Sinclar, Martin Garrix, Jax Jones, Todd Terry, Erick Morillo, Kryder and many more.  https://www.last.fm/music/Jude+&+Frank",43702,183445,Tom & Collins
dj-Nate,dj-Nate is a talented artist whose music ranges from soft trance to hardcore rave music. His audio submissions to the Newgrounds Audio Portal can be found at dj-nate.newgrounds.com https://www.last.fm/music/dj-Nate,49549,782354,F-777
Don Diablo,"To step inside the mind of Don Diablo is to step inside the future. The Dutch visionary demonstrates a total immersion in his craft that has seen him challenge perceptions and break down creative boundaries with his numerous endeavours across the music, art, fashion and tech realms. Displaying an almost prophetic ability to tap into future trends, the forward-thinking Digital Artist refuses to be pigeonholed by just one avenue of his illustrious career. https://www.last.fm/music/Don+Diablo",675434,10582692,Mike Williams
Drake,"Aubrey ""Drake"" Graham (born October 24, 1986) is an Canadian rapper, singer, songwriter, record producer, actor, and businessman. Drake was an actor on the teen drama television series Degrassi: The Next Generation in the early 2000s. Intent on pursuing a career in music, he left the series in 2007 after releasing his debut mixtape, Room for Improvement. He released two further independent projects, Comeback Season and So Far Gone, before signing to Lil Wayne's Young Money Entertainment in June 2009. https://www.last.fm/music/Drake",6608660,1110035947,PARTYNEXTDOOR
Future,"Nayvadius DeMun Cash (born Nayvadius DeMun Wilburn), better known by his stage name Future, is an American rapper, singer, songwriter, and record producer from the Kirkwood neighborhood of Atlanta, Georgia.

After releasing a series of moderately successful mixtapes between 2010 and 2011, Future signed a major label deal with Epic Records and fellow American rapper Rocko's A1 Recordings, which helped launch his label imprint Freebandz. Future subsequently began working on his debut studio album https://www.last.fm/music/Future",3142755,442971554,Young Thug
Ahrix,Ahrix is a 25 year old Producer from The Netherlands. https://www.last.fm/music/Ahrix,71602,617169,Tobu
Bonobo,"Simon Green, known by his stage name Bonobo, is a British musician, producer and DJ based in Los Angeles.

Bonobo's first album - 2000's Animal Magic - was released via Tru Thoughts before being picked up by Ninja Tune. It announced him as a serious talent; able to bring a musician's edge to electronic music, with all the freedom that skill allowed. His subsequent albums for Ninja, Dial 'M' for Monkey and Days to Come, developed his sensibility, won him fans across the globe https://www.last.fm/music/Bonobo",2065582,111303348,The Funky Lowlives
Mandragora,"There are several artists named Mandragora:

1) A mexican psytrance DJ and producer.

2) A space-rock/progressive rock british band.

3) A Heavy Metal brazilian band. 

4) A portuguese folk band.

5) A Lithuanian melodic death metal band. https://www.last.fm/music/Mandragora",135344,2416890,GRAViiTY
Tame Impala,"Tame Impala is the psychedelic music project of Australian multi-instrumentalist Kevin Parker, blending rock, pop, and electronic sounds with lush production and introspective lyrics. Their discography includes Innerspeaker (2010), Lonerism (2012), Currents (2015), The Slow Rush (2020), and Deadbeat (2025). As a touring act, Tame Impala consists of Parker (guitar, vocals), Dominic Simper (guitar, synthesiser), Jay Watson (synthesiser, vocals, guitar), Cam Avery (bass guitar, vocals), and Julien Barbagallo (drums, vocals). https://www.last.fm/music/Tame+Impala",4139980,389930407,Pond
Machine Girl,"Machine Girl is an American electronic music project created in 2012 by Matt Stephenson on Long Island, New York. In 2015, the project became a duo, with Stephenson recruiting percussionist Sean Kelly to play live drums. The project derives its name from the 2008 Japanese film The Machine Girl and has occasionally incorporated samples from the film into their work, notably in their 2014 debut studio album, WLFGRL.

Machine Girl, as described by its creator, is a genre-defying musical project characterized as ""fucked-up electronic punk"". https://www.last.fm/music/Machine+Girl",1006593,66446892,Prolaps
J Hus,"J Hus (born Momodou Jallow on May 27 1995, in Stratford, London, United Kingdom) is a British rapper and singer who has been credited with pioneering the genre of afroswing.

He gained popularity in 2015 following the release of his song ""Dem Boy Paigon"". J Hus released ""Did You See"" on March 2, 2017, quickly becoming his biggest song peaking at number 9 on the UK Singles Chart and eventually being certified platinum. On 12 May 2017, J Hus released his debut album, Common Sense, peaking at number 6 on the UK Albums Chart. https://www.last.fm/music/J+Hus",460765,12692366,MOSTACK
Chromatics,"Chromatics was an electronic band based in Portland, Oregon, United States. The band consisted of  Ruth Radelet (vocals, guitar, synthesizer),  Adam Miller (guitar), Johnny Jewel (synthesizer, production) and Nat Walker (drums, synthesizer). The band shifted from a post-punk sound to one inspired by 1980s synthpop and Italo disco around 2006. The band's most acclaimed albums are ""Night Drive"" (2007) and ""Kill for Love"" (2012).

The would-be next album https://www.last.fm/music/Chromatics",1127860,25331757,Glass Candy
J Balvin,"José Álvaro Osorio Balvin (born May 7, 1985), known professionally as J Balvin, is a Colombian reggaeton singer. Balvin was born in Medellín, Colombia, where he became interested in music at a young age. At age 17, he moved to the United States and learned English, which influenced the music he would make later. He then returned to Medellín and gained local popularity by performing at various clubs around the city.

Though his music is primarily reggaeton https://www.last.fm/music/J+Balvin",1715810,61181868,Maluma
Thievery Corporation,"Thievery Corporation is a Washington, D.C.-based recording artist and DJ duo consisting of Rob Garza and Eric Hilton and their supporting artists. Their music style mixes elements of dub, acid jazz, Indian classical and Brazilian (such as bossa nova) with a lounge aesthetic.

Thievery Corporation is on the Eighteenth Street Lounge record label named after the DC club owned by Eric Hilton, but several of their singles and EP's appear on the 4AD and !K7 labels. https://www.last.fm/music/Thievery+Corporation",1888840,63595650,The Karminsky Experience Inc.
Linkin Park,"Linkin Park is an American alternative rock band from Agoura Hills, California. The band's current lineup comprises of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, bassist Dave Farrell, DJ/turntablist Joe Hahn, drummer Colin Brittain, and lead vocalist Emily Armstrong. Shinoda, Delson, Farrell and Hahn are founding members. Vocalists Mark Wakefield, Chester Bennington & drummer Rob Bourdon are former members of the band. https://www.last.fm/music/Linkin+Park",6816478,716887289,Mike Shinoda
Terrence Parker,"Awesome house DJ/producer out of Detroit.  Using a modified telephone instead of headphones is his signature.
Records as Seven Grand Housing Authority, Jovan Blade and Younger Than Park (with Claude Young) amongst a host of other pseudonyms. Classic track 'The Question' has been featured on many compilations. https://www.last.fm/music/Terrence+Parker",75697,456134,Floorplan
Four Tet,"Four Tet is the name used by Kieran Hebden (born 1977 in Putney, London, UK) for his experimental  electronic music-oriented solo efforts, to differentiate from his work with post-rock band Fridge.

Hebden's solo work typically utilises samples lifted from various sources including hip-hop, electronica, techno, jazz, and folk mixed with his own guitar playing. Four Tet shares some stylistic similarities with other musicians, such as Prefuse 73, who use computer editing techniques that give the music a staccato, cut-up feel. https://www.last.fm/music/Four+Tet",1314855,47742314,Floating Points
Franzprod,https://www.last.fm/music/Franzprod,428,2412,Anime Lifestyle
Third Party,"Those claiming immunity to the elegant rage of the European Progressive House resurgence are clearly yet to come across enigmatic London duo Third Party. Transitioning from precious Progressive underground players to Size Record’s inaugural British connection, many have tried to replicate the energy of their double-barrelled studio output. To date, none have succeeded.

As resilient as they are melodically inclined, these supposedly opposing elements have made for the best of friends amid the rise of this young production outfit. https://www.last.fm/music/Third+Party",91193,790606,Matisse & Sadko
Jesse Rose,"Jesse Rose (aka Content), released two original albums in 2006, the first was ""More Than One"" (Front Room), featuring collaborations with underground dance music talents, including: David Taylor (aka Solid Groove), Henrik Schwarz, Dominic Stanton (aka Domu), Jamie Odell (aka Audiomontage and Jimpster), Rob Mello, Chris Duckenfield (aka Duckbeats), Trevor Loveys and Jamie Anderson. His second album ""What Do You Do If you Don't?"" (Dubsided), is an hour mix of Jesse's original tracks, including: ""Asided"" and the hit ""You're All Over My Head"". https://www.last.fm/music/Jesse+Rose",81426,483341,Renaissance Man
Ministry Of Funk,Alias of DJ Marcello Castelli https://www.last.fm/music/Ministry+Of+Funk,24521,114163,Defcon 5
Mike Perry,"Mikael Mats Robert Persson, professionally known as Mike Perry, is a Swedish DJ and music producer born on June 24, 1983, in Skövde, Sweden. Throughout his career, he has achieved notable success in the music industry, particularly in the electronic dance music genre.

Perry's musical journey began in 2007 with the release of ""Psycadelic,"" a collaborative effort with Stephan M. In 2012, he continued to make strides in the industry with the release of ""Put Me Up https://www.last.fm/music/Mike+Perry",484239,6012684,Gryffin
The Cancel,"The Cancel is an instrumental hip-hop / jazz hop project from Lviv, Ukraine that formed in 2011. Members have included Andrey Zelenskiy and, previously, Dmitry Fedosov. Its fandom is Cancel Culture.

Discography as of 2015:
2011 - Diversity
2011 - Reply from Space
2013 - Daybreak
2013 - Night Light
2014 - BEATS FOR SALE
2014 - Criminal
2015 - No Way to Stay https://www.last.fm/music/The+Cancel",143133,1864567,Brock Berrigan
SKAN,"SKAN is a French music producer of genres such as Trap, Reggaeton, House and Future Bass. His biggest hit is No Glory in collaboration with Krale, M.I.M.E and Drama B, released on June 12, 2017.

Inspired by his dad who was a pianist, Skan’s music journey began at a young age, hoping to emulate his father. When he discovered the magic of music and how it can influence people, everything changed as it sparked a burning passion for him pursue a career as a music producer.  https://www.last.fm/music/SKAN",99625,1342785,Jinco
